"","subj","list","time","page","pprog","pracism","phonesty","phelpful","pintel","pchristian","pfriendly","pparty","age","gender","education","party","wom.refugees","wom.headscarf","wom.citizenship","wom.islam","wom.asylum","comment","sentence","dog.whistle","sentence.label"
"62",91,2,"2022/05/09 10:40:48 AM GMT+2","20-39",4,1,3,4,3,3,4,"Grüne","24","divers","kein Abschluss","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",NA,2,"Dog whistle","Hilfe vor Ort"
"63",92,2,"2022/05/09 11:00:47 AM GMT+2","40-59",3,1,3,3,3,3,3,"CDU","29","männlich","Studium","FDP","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme zu",NA,1,"Control","Kampf für Deutschland"
"64",92,2,"2022/05/09 11:00:47 AM GMT+2","40-59",3,3,3,3,3,2,3,"CDU","29","männlich","Studium","FDP","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Ich stimme zu",NA,2,"Dog whistle","Hilfe vor Ort"
"65",93,2,"2022/05/09 11:05:10 AM GMT+2","40-59",2,5,3,2,3,5,2,"CDU","28","weiblich","Studium","Linke","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme zu","Neutral",NA,1,"Control","Kampf für Deutschland"
"66",93,2,"2022/05/09 11:05:10 AM GMT+2","40-59",3,2,4,3,3,3,3,"SPD","28","weiblich","Studium","Linke","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme zu","Neutral",NA,2,"Dog whistle","Hilfe vor Ort"
"67",94,2,"2022/05/09 11:11:07 AM GMT+2","20-39",4,2,4,4,3,3,3,"CDU","23","weiblich","Abitur","SPD","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Neutral",NA,1,"Control","Kampf für Deutschland"
"68",94,2,"2022/05/09 11:11:07 AM GMT+2","40-59",4,2,4,4,4,3,4,"CDU","23","weiblich","Abitur","SPD","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Neutral",NA,2,"Dog whistle","Hilfe vor Ort"
"69",95,2,"2022/05/09 11:11:31 AM GMT+2","40-59",3,2,2,3,3,3,3,"CDU","30","männlich","Studium","Grüne","Neutral","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",NA,1,"Control","Kampf für Deutschland"
"70",95,2,"2022/05/09 11:11:31 AM GMT+2","40-59",4,2,3,4,3,2,4,"SPD","30","männlich","Studium","Grüne","Neutral","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",NA,2,"Dog whistle","Hilfe vor Ort"
"71",96,2,"2022/05/09 11:14:48 AM GMT+2","40-59",2,1,1,3,3,3,4,"CDU","21","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,1,"Control","Kampf für Deutschland"
"72",96,2,"2022/05/09 11:14:48 AM GMT+2","40-59",4,1,3,4,4,4,4,"Linke","21","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,2,"Dog whistle","Hilfe vor Ort"
"73",97,2,"2022/05/09 11:17:15 AM GMT+2","40-59",2,4,3,2,2,4,2,"CDU","27","männlich","Studium","Grüne","Neutral","Ich stimme zu","Neutral","Ich stimme zu","Ich stimme nicht zu",NA,1,"Control","Kampf für Deutschland"
"74",97,2,"2022/05/09 11:17:15 AM GMT+2","20-39",4,2,3,3,3,2,4,"SPD","27","männlich","Studium","Grüne","Neutral","Ich stimme zu","Neutral","Ich stimme zu","Ich stimme nicht zu",NA,2,"Dog whistle","Hilfe vor Ort"
"75",98,2,"2022/05/09 11:20:59 AM GMT+2","40-59",3,3,2,2,3,4,3,"SPD","25","weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,1,"Control","Kampf für Deutschland"
"76",98,2,"2022/05/09 11:20:59 AM GMT+2","20-39",4,2,3,3,3,2,4,"Grüne","25","weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,2,"Dog whistle","Hilfe vor Ort"
"77",99,2,"2022/05/09 11:21:53 AM GMT+2","20-39",3,2,3,3,3,2,3,"CDU","33","männlich","Abitur","(no answer)","Neutral","Ich stimme zu","Ich stimme zu","Neutral","Neutral",NA,1,"Control","Kampf für Deutschland"
"78",99,2,"2022/05/09 11:21:53 AM GMT+2","20-39",4,2,3,4,3,3,3,"SPD","33","männlich","Abitur","(no answer)","Neutral","Ich stimme zu","Ich stimme zu","Neutral","Neutral",NA,2,"Dog whistle","Hilfe vor Ort"
"79",100,2,"2022/05/09 11:22:02 AM GMT+2","60-79",3,2,2,3,4,4,3,"SPD","31","weiblich","Betriebswirt","Grüne","Neutral","Ich stimme zu","Neutral","Ich stimme nicht zu","Ich stimme nicht zu",NA,1,"Control","Kampf für Deutschland"
"80",100,2,"2022/05/09 11:22:02 AM GMT+2","20-39",5,1,3,5,4,2,5,"Grüne","31","weiblich","Betriebswirt","Grüne","Neutral","Ich stimme zu","Neutral","Ich stimme nicht zu","Ich stimme nicht zu",NA,2,"Dog whistle","Hilfe vor Ort"
"81",101,2,"2022/05/09 11:22:04 AM GMT+2","20-39",2,2,3,2,3,2,2,"Grüne","55","männlich","Studium","SPD","Ich stimme nicht zu","Ich stimme nicht zu","Neutral","Neutral","Ich stimme zu",NA,1,"Control","Kampf für Deutschland"
"82",101,2,"2022/05/09 11:22:04 AM GMT+2","20-39",4,1,4,4,4,3,3,"SPD","55","männlich","Studium","SPD","Ich stimme nicht zu","Ich stimme nicht zu","Neutral","Neutral","Ich stimme zu",NA,2,"Dog whistle","Hilfe vor Ort"
"83",102,2,"2022/05/09 11:23:31 AM GMT+2","40-59",3,3,3,3,3,3,3,"CDU","24","männlich","Studium","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,1,"Control","Kampf für Deutschland"
"84",102,2,"2022/05/09 11:23:31 AM GMT+2","20-39",3,3,3,3,3,3,3,"SPD","24","männlich","Studium","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,2,"Dog whistle","Hilfe vor Ort"
